Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Profile Picture,Job Title
Greg Carlson,greg-carlson,5e339676806f6d42390236d0,5e361e9fa3d85b27ec1c4dab,Sun Feb 02 2020 00:58:07 GMT+0000 (Coordinated Universal Time),Sun Feb 02 2020 00:58:07 GMT+0000 (Coordinated Universal Time),,,CEO
Matthew Carlson,matthew-carlson,5e339676806f6d42390236d0,5e361e91a3d85be3d71c4d84,Sun Feb 02 2020 00:57:53 GMT+0000 (Coordinated Universal Time),Sun Feb 02 2020 00:57:53 GMT+0000 (Coordinated Universal Time),,,CTO
